coop,lat,lon,status,activities,address,flocert,type
SCOOPS CASH PRODS  (Société Coopérative simplifiée d'achat Cash de Produits),5.47237,-3.20324,certified Fair Trade producer,production,"BP 423, Aboisso, Ivory Coast",FLO ID 39802,certified
SOCO SABARI COOP-CA,5.40881,-6.5611,certified Fair Trade producer,production,"BP304, Meagui, Ivory Coast",FLO ID 39889,certified
COOP-CA SCAMB  (Société Coopérative avec Conseil d'Administration Manfai de Blolequin),6.57915,-8.00589,certified Fair Trade producer,production,"Blolequin, Ivory Coast",FLO ID 39890,certified
COOP-CA GUELAHASSON,6.74738,-7.36245,certified Fair Trade producer,production,"BP 573, Duekoue, Ivory Coast",FLO ID 39900,certified
COOP-CA EM  (Société Coopérative avec Conseil d'administration entente de Mahapleu.),7.22586,-7.93477,certified Fair Trade producer,production,"Mahapleu, Danane, Ivory Coast",FLO ID 39901,certified
SCOOPS-CA K  (La Société Coopérative Agricole Kakewa de Mahapleu),7.22556,-7.93562,certified Fair Trade producer,production,"Mahapleu, Danane, Ivory Coast",FLO ID 39950,certified
COOP-CA SINGA  (Société Coopérative Singa de Man),7.40642,-7.55722,certified Fair Trade producer,production,"Man, Ivory Coast",FLO ID 39981,certified
SCOOPS MAHOL  (Société Coopérative simplifiée SCOOPS MAHOL.),4.75735,-6.64895,certified Fair Trade producer,production,"01 BP 110, San Pedro, Ivory Coast",FLO ID 40085,certified
SCARF-SCOOPS  (Société Coopérative des agriculteurs de la region du Fromager),6.29543,-5.93687,certified Fair Trade producer,production,"BP 1218, Ouragahio, Ivory Coast",FLO ID 40171,certified
SCOOPS-TIPHERET  (Société Coopérative Simplifiée Tipheret de Blolequin),6.57919,-8.0057,certified Fair Trade producer,production,"Blolequin, Ivory Coast",FLO ID 40319,certified
CACDA SCOOPS  (Société Coopérative Simplifiée Agricole Confiance de Daloa),6.88697,-6.45685,certified Fair Trade producer,production,"BP 1445, Daloa, Ivory Coast",FLO ID 40489,certified
SCAFKO-SCOOPS  (Société Coopérative Agricole des Frères de Koffrikro-Société Coopérative Simplifiée),6.92008,-6.05203,certified Fair Trade producer,production,"BP 117, Bonon, Ivory Coast",FLO ID 40522,certified
ANOUANZE 3A SCOOPS  (Société Coopérative Simplifiée Agricole de Bacanda),5.63203,-4.8767,certified Fair Trade producer,production,"BP 85, Bacanda, Ivory Coast",FLO ID 40611,certified
SCAWSN COOP-CA  (Société Coopérative Agricole Wende Sonkodon de Nigre),5.62305,-7.35975,certified Fair Trade producer,production,"Nigré, Ivory Coast",FLO ID 40618,certified
CAGB COOP-CA  (Société Coopérative avec Conseil d'Administation Coopérative Agricole Gnongofe de Blolequin),6.57916,-8.00554,certified Fair Trade producer,production,"Blolequin après le grans marché, Bloleqin, Ivory Coast",FLO ID 40725,certified
SOCONPAYAT COOP-CA  (Société Coopérative Nouvelle des Producteurs Agricole de Yakasse Attobrou),6.54696,-3.33701,certified Fair Trade producer,production,"Diangobo, Attobrou, Ivory Coast",FLO ID 40730,certified
COOP-CA SCAND II  (Société Cooperative Agricole Nouvelle de Djouroutou) ,4.42791,-7.35705,certified Fair Trade producer,production,"Djouroutou, Ivory Coast",FLO ID 40931,certified
UISCA CI COOP-CA,5.84153,-5.36255,certified Fair Trade producer,production,"BP 523 Divo, Divo, Ivory Coast",FLO ID 40996,certified
COOP-CA SCOALO  (Société Coopérative Agricole de Lobakuya),4.95046,-6.0902,certified Fair Trade producer,production,"BP 308 Sassandra, Sassandra, Ivory Coast",FLO ID 41103,certified
ECODEBO SCOOPS  (Entreprise Coopérative pour le developpement de Bonom),6.92,-6.05401,certified Fair Trade producer,production,"Derrière la gendarmerie de la ville., Bonon, Ivory Coast",FLO ID 41133,certified
COOP-CA SOUGRI NONMA,6.74618,-7.35696,certified Fair Trade producer,production,"BP 291 Duekoue, Duekoue, Ivory Coast",FLO ID 41138,certified
COOP-CA-SOCATOB  (Société Coopérative Agricole Générale Tobadougou de Gourane avec Conseil d'administration),7.53115,-7.41436,certified Fair Trade producer,production,"Gbonne-Gourane, Biankouma, Ivory Coast",FLO ID 41162,certified
